152274.0163.wav|또 이동기 쌤의 메인 그런...
152274.0164.wav|그런 작품이자 그런 느낌의 스모킹
152274.0165.wav|그런 작품을 뭔가 다시 재해석해서
152274.0166.wav|뭔가 저희 앨범 아트로 이렇게
152274.0167.wav|탄생이 됐죠
152274.0168.wav|너무 죄송한 게 제가 부탁을 좀 많이 드렸어서
152274.0169.wav|너무 죄송할 뿐이네요 그게
152274.0170.wav|지금 딱 뭐가 방금 떴는데
152274.0171.wav|뭔가 뭐지 이게? 100만 조회수인가?
152274.0172.wav|안무는 오빠가 짠 거예요? 이거는 물론 성득 쌤도 그렇고
152274.0173.wav|되게 성득 쌤이 총괄하는 디렉터이시기도 하고
152274.0174.wav|되게 웃긴 게 이 곡 안무를 제가 처음 춤을 배웠던
152274.0175.wav|형한테 부탁을 했었어요
152274.0176.wav|그래서 이 안무를 뭔가 재밌게 짜주셔서
152274.0177.wav|이렇게 탄생이 됐고
152274.0178.wav|그리고 이 시안 자체는 외국 지금 여기 뮤직비디오에 나오는
152274.0179.wav|더 랩 친구들한테 좀 부탁을 했었죠
152274.0180.wav|나 이런 곡을 하는데 안무를 좀 도와줄 수 있냐
152274.0181.wav|그러면서 친구들한테 부탁을 해서
152274.0182.wav|시에나가 멋있게 짜줘서
152274.0183.wav|궁금하시다면 여러분들 저희 LA 로즈볼 공연 때 뒤에 섰던 친구들입니다
152274.0184.wav|진짜 잘해요 진짜 깜짝 놀랐어요
152274.0185.wav|진짜 춤에 미친 사람들이 이런 사람들이구나라는 생각이 들긴 하더라고요
152274.0186.wav|연결이 불안정해 어떡하지? 뭔가 나도 불안정해지네 갑자기
152274.0187.wav|끊기는 거 아니겠지 또?
152274.0188.wav|연결 끊기면 안 되는데
152274.0189.wav|연결이 불안정해
152274.0190.wav|아무튼 지금도 댓글이 올라오는데 베키와의 작업 어땠는지
152274.0191.wav|베키는 진짜 진짜 짱이에요
152274.0192.wav|제가 사실 걱정... 아까도 말했다시피 걱정을 너무 많이 했어요
152274.0193.wav|그냥 걱정 천지였어요 이 곡은
152274.0194.wav|뮤직비디오도 그렇고 곡도 그렇고
152274.0195.wav|근데 제가 영어도 잘 못 하기 때문에
152274.0196.wav|이게 소통을 어떻게 해야 하지?라는 걱정을 했었는데 베키가 그런 거 필요 없다고
152274.0197.wav|우리는 그냥 음악으로 소통하고 있다고
152274.0198.wav|명언을 날려주셨죠
152274.0199.wav|베키! 깜짝 놀랐어
152274.0200.wav|그러면서 몸으로 대화했죠
152274.0201.wav|그런 의미야? 그러면서
152274.0202.wav|진짜 착해요 진짜
152274.0203.wav|여러분들이 좋아해주셨으면 좋겠네요
152274.0204.wav|춤도 재밌게 잘 나온 것 같고 뮤비도 예쁘게 잘 나왔고
152274.0205.wav|일단은 아미 여러분들이 되게 좋아해주시는 것 같아서 너무너무 기분이 좋네요
152274.0206.wav|오늘 되게 또 특별한 날이네요 오늘 며칠이죠?
152274.0207.wav|오늘 며칠이에요 여러분들?
152274.0208.wav|9월 27일인가? 27일
152274.0209.wav|특별한 날이에요
"152274.0210.wav|닭데이, 닭데이라고 하죠 홉이의 닭데이"
152274.0211.wav|고마워요 여러분들 너무 좋아해주시네요
152274.0212.wav|지금 챌린지 중이에요 또 맞아요 지금 챌린지 중이야
152274.0213.wav|이게
152274.0214.wav|불안하지 말아라 연결아
152274.0215.wav|헐 끊김 끊겼죠?
152274.0216.wav|그러니까 지금 여러분들 이거 끊길 때마다 제 마음도 끊기는 것 같아요 지금
152274.0217.wav|불안해요 렉 걸려요?
152274.0218.wav|얼굴 살이 또 빠졌다고?
152274.0219.wav|저 여행 갔다와서 좀 많이 탔어요
152274.0220.wav|너무 많이 탔어요 진짜
152274.0221.wav|홉아 렉 걸려요
152274.0222.wav|렉 안 돼
152274.0223.wav|안 돼 렉 걸리지 마
152274.0224.wav|안 돼
152274.0225.wav|아무튼 지금 알고 보면 너무 쉬운 춤이니까
152274.0226.wav|여러분들 재밌게 많이 올려주시고 즐겨주세요
152274.0227.wav|그리고 저도 어플 통해서 볼게요
152274.0228.wav|좀 잠깐 봤었는데 진짜 다양한 분들이
152274.0229.wav|챌린지를 많이 해주셨더라고
152274.0230.wav|되게 재밌더라고
152274.0231.wav|신기한 게 많아
152274.0232.wav|이거 어떻게... 근데 저... 뭔지 알아요? 이거 어떻게 하는지를 잘 모르겠어
152274.0233.wav|진짜 많더라고
152274.0234.wav|벌써 이렇게
152274.0235.wav|신기해
152274.0236.wav|벌써 많은 분들이 올려주셨죠
152274.0237.wav|금방 따라합니다 여러분들
152274.0238.wav|여러분 모르겠다하면 제가 알려드릴게요
152274.0239.wav|진짜로
152274.0240.wav|계속 끊긴다고요? 안 돼 끊기지 마
152274.0241.wav|아직 할 말 많아요
152274.0242.wav|여러분들이랑 이 기쁨을 좀 더 공유를 하고 싶단 말이에요
152274.0243.wav|금방 따라한다고요? 알려줘요 그럼
152274.0244.wav|여러분 진짜 쉬워요
152274.0245.wav|정말로 생각해보면
152274.0246.wav|진짜 알려드릴게요
152274.0247.wav|진짜 쉬운데
152274.0248.wav|잘 보십시오 여러분들
152274.0249.wav|표현할 수가 없네 여러분들 두 번 춰주시고요 빰빰 춰주시고요
152274.0250.wav|다리를
"152274.0251.wav|다리를 1, 2, 3"
152274.0252.wav|오케이?
152274.0253.wav|또 두 번 춰주시고요 오른발부터
152274.0254.wav|오케이?
152274.0255.wav|그다음에
152274.0256.wav|춰주시고요
152274.0257.wav|왼발부터
"152274.0258.wav|원, 투, 쓰리 앤 포 앤"
152274.0259.wav|투 앤 쓰리 앤 포 앤
152274.0260.wav|오케이? 여러분들?
152274.0261.wav|오른쪽부터인가? 오른쪽부터네요
152274.0262.wav|오른쪽부터
152274.0263.wav|나도 헷갈린다
152274.0264.wav|여러분들 오른쪽부터예요 오른쪽부터
152274.0265.wav|무슨 말인지 아시겠죠?
152274.0266.wav|즉석 댄스
152274.0267.wav|연습실 가서 하고 싶지만 혹시나 또 끊길까 봐
152274.0268.wav|이거 이거
152274.0269.wav|게다리 춤
152274.0270.wav|그러면서 손만 들어가면 돼요
152274.0271.wav|오케이?
152274.0272.wav|태형이랑 정국이랑 지민이는 금방 하던데?
152274.0273.wav|앤 박자로
152274.0274.wav|다리는 계속 이렇게 왔다 갔다 왔다 갔다 갔다 갔다 왔다 갔다
152274.0275.wav|쉽다니까요 여러분들?
152274.0276.wav|어떻게 표현해야 될지 모르겠네
152274.0277.wav|왔다 갔다 왔다 갔다 이거 해봐요 이거
"152274.0278.wav|1, 2, 3, 4, 5, 6, 7, 8 2, 2, 3, 4"
152274.0279.wav|손이랑 같이
152274.0280.wav|그래 맞아요 물론 쉬운 춤은 아니긴 합니다
152274.0281.wav|뮤비 찍다가 진짜 기절할 뻔했어요 힘들어서
152274.0282.wav|강의해드릴게요 나중에 V LIVE 켜서 모르시는 분들을 위해서
152274.0283.wav|누구세요? 컴 히얼
152274.0284.wav|뭐지?
152274.0285.wav|JK!
152274.0286.wav|느꼈어 JK
152274.0287.wav|느꼈어 JK
152274.0288.wav|JK 충격적인데 지금?
152274.0289.wav|JK 바로 들어오자마자 바로 해줘야지
152274.0290.wav|여기 들어오면 무조건 'Chicken Noodle Soup' 부터 춰야 됩니다 알았어요?
152274.0291.wav|나 머리 봐봐
152274.0292.wav|알았어요? 바로 'Chicken Noodle Soup'부터 춰주세요
152274.0293.wav|좋아!
152274.0294.wav|대박이다 너 잘하네
152274.0295.wav|멋있다
152274.0296.wav|바로 외웠지
152274.0297.wav|멋지다 야
152274.0298.wav|충격적인데 JK?
152274.0299.wav|제가 남자한테 반할 줄 몰랐어요
152274.0300.wav|그래요 꼭 하세요 알았어요?
152274.0301.wav|원래 좀 이제 약간
152274.0302.wav|바로 휴가 끝나고 공개하고 싶었는데
152274.0303.wav|이게 자기만족이 안 돼서
152274.0304.wav|지금 한 곡을 준비하고 있는 게 아니에요
152274.0305.wav|기대 많이 해주십시오
152274.0306.wav|오늘도 우리 거 녹음 끝나면
152274.0307.wav|열심히 코러스 쌓고 있습니다 여러분
152274.0308.wav|굿
152274.0309.wav|조심해
152274.0310.wav|귀엽네요 우리 정국이
152274.0311.wav|스포 정국 했습니다 여러분들
152274.0312.wav|우리 팬분들 진짜 좋아하시네요
152274.0313.wav|친구들이 너무너무 좋아해줘서 저는 너무 고마웠죠 진짜
152274.0314.wav|여러분들 아무튼 우리 정국이도 곡이 나온다고 합니다 자기가 하고 있다고 합니다
152274.0315.wav|기대 많이 해주시고
152274.0316.wav|벌써 V LIVE 켠 지 아까 끊긴 거 포함해서 한 40분째 하고 있는 것 같은데
152274.0317.wav|여러분 뭐 또 궁금한 거 있어요?
152274.0318.wav|궁금한 거 있으면 알려드릴게요 여러분
152274.0319.wav|멤버들은 다 잘 지내고 있습니다 여러분
152274.0320.wav|진짜 푹 쉬다 와서 애들이 지금 다들 텐션이 다들 너무 좋아요
152274.0321.wav|추석 에피소드요?
152274.0322.wav|저는 추석에 그냥 오랜만에 고향에도 내려갔다 왔어요
152274.0323.wav|영감을 또 받고자 나오기 전에
152274.0324.wav|또 광주 이야기가 나오지 않습니까? 또 곡에?
152274.0325.wav|그래서 추석 때는 그렇게 고향 내려가서 엄마 집밥 먹고
152274.0326.wav|강아지랑도 놀고
152274.0327.wav|작업하면서 제일 힘들고 좋았던 거?
152274.0328.wav|힘들었던 거는 그냥 아까 말했었던 그게 제일 힘들었었고
152274.0329.wav|불안하고 걱정이 많이 됐었죠
152274.0330.wav|그리고 계속 갈수록 스케일이 너무 커지니까
152274.0331.wav|그게 너무 걱정됐었고 좋았던 거는 사실
152274.0332.wav|사실 걱정했던 뮤비가 막상 가보니 너무 즐겁고 행복해서
152274.0333.wav|그게 너무 즐거웠었던 것 같아요
152274.0334.wav|그리고 또 여러분들한테 들려드릴 수 있게 되어서 너무 좋고
152274.0335.wav|콘서트 스포? 우리 콘서트 티켓팅 됐나?
152274.0336.wav|잠시만
152274.0337.wav|공항패션 비하인드요
152274.0338.wav|공항패션 그렇죠 제가 미국에 갈 때 그렇고
152274.0339.wav|올 때 조금 뭐 파격적이다면 파격적이게 제가 입었었죠
152274.0340.wav|근데 이걸 좀 이야기를 하자면요 여러분들
152274.0341.wav|물론 제가 그렇게 입은 것도 있지만
152274.0342.wav|가방이 있었잖아요 가방에 이게 많이 이렇게 미끌린 거죠
152274.0343.wav|그러면서 조금 오픈이 많이 됐더라고?
152274.0344.wav|나도 당황스러웠지 보면서 좀 많이 오픈됐는데 이거 큰일 났네?
152274.0345.wav|그렇습니다 뭐 공항패션은 너무 헐벗어서 놀랐대
152274.0346.wav|오빠 콘서트는 왜 콘서트 왜
152274.0347.wav|이번에 3일 하잖아요
152274.0348.wav|콘서트 다 오실 거죠? 콘서트 지금 뭐...
152274.0349.wav|다들 오시는 거죠?
152274.0350.wav|난 좋았다 모든 것이
152274.0351.wav|광탈?
152274.0352.wav|왜? 콘서트 못 와요?
152274.0353.wav|일요일에 갑니까?
152274.0354.wav|콘서트 준비도 그렇고
152274.0355.wav|이제 근처에 곧 다가올 사우디 콘서트도 그렇고
152274.0356.wav|지금 여러 방면으로 열심히 또 준비하고 있으니까요
152274.0357.wav|기대 많이 해주시고
152274.0358.wav|진짜 열심히 다들 열심히 하고 있어요 작업부터 시작해서
152274.0359.wav|열심히 하고 있으니까 기대 많이 해주시고
152274.0360.wav|좋은 모습 보여드릴게요
152274.0361.wav|저도 뭔가 이렇게 이 곡이 나오니까 동기부여도 되는 것 같아요
152274.0362.wav|진짜 열심히 해야지
152274.0363.wav|기대 많이 해주세요 한국에서 또 3일 동안 콘서트를 하니까
152274.0364.wav|나도 갑자기 치킨이 먹고 싶네요
152274.0365.wav|가족이 뮤비 보고 뭐라고 했냐고요?
152274.0366.wav|가족도 되게 좋아했어요 가족도 너무 좋아했고
"152274.0367.wav|다들 뭐, 누나도 너무 큰 칭찬해주고"
152274.0368.wav|가족분들은 워낙 저를 칭찬을 많이 해줘서
152274.0369.wav|머리 염색 에피소드 머리 염색 에피소드는 없는데
152274.0370.wav|그냥 제가 무슨 머리를 해야 되지 고민하다가
152274.0371.wav|조금 올드하다면 올드한 그런 브릿지를 넣어볼까?
152274.0372.wav|라는 그런 생각을 했었던 것 같아요
152274.0373.wav|라이브 몇 시간 할 거냐고요? 이제 슬슬 꺼야죠
152274.0374.wav|한국 시간으로
152274.0375.wav|9시 되면 10분 있다가 끌 예정입니다 여러분들
152274.0376.wav|뭐 궁금한 거 더 있으세요?
152274.0377.wav|질문
152274.0378.wav|안 돼
152274.0379.wav|오늘 치킨 스프 마시나요? 마실 수 있으면 마셔야죠
152274.0380.wav|방 구경? 여러분 방은 솔직히 그때랑 달라진 거 없어요
152274.0381.wav|그냥 똑같습니다 늘
152274.0382.wav|늘 똑같고요
152274.0383.wav|안무 영상 올려주나요?
152274.0384.wav|안무 영상...
152274.0385.wav|그러게요 사실 이게 풀 안무가 있는 곡이 아니어서
152274.0386.wav|여러분들이 올려주시겠죠 안무 영상은
152274.0387.wav|챌린지로
152274.0388.wav|이번에 여러분들이 좀 안무 영상 좀 올려주세요
152274.0389.wav|제가 보고 좋아하고 싶네요
152274.0390.wav|진 오빠 성공하면 인정 진 형
152274.0391.wav|진 형 가나?
152274.0392.wav|우리 진이 형 가나?
152274.0393.wav|내 맘대로 뭐예요? 그거는
152274.0394.wav|그거는 옷... 옷 디자인이고요
152274.0395.wav|그냥... 제 마음대로 해보고 싶었어요 그거는
152274.0396.wav|또 궁금한 거 있어요?
152274.0397.wav|스폰지밥 좋아?
152274.0398.wav|응 좋아
152274.0399.wav|콘서트 티켓 주세요
152274.0400.wav|직접 찾아가서 드릴까요?
152274.0401.wav|미키 잘 있습니다 여러분들
152274.0402.wav|미키 건강하게 잘 있습니다
152274.0403.wav|가사 작업 비하인드
152274.0404.wav|가사 작업은 뭐...
152274.0405.wav|사실 있는 그대로
152274.0406.wav|저의 감정을 담았었는데 그때
152274.0407.wav|이게 가사가 나온 게
152274.0408.wav|홉월드 나올 때
152274.0409.wav|2018년 맞나요?
152274.0410.wav|그때 나온 거라서
152274.0411.wav|그때 있는 그 감정들을
152274.0412.wav|그 춤에 대한 제 감정들을 고스란히 담았죠
152274.0413.wav|작업했던 건 2017년 같다
152274.0414.wav|또 곡 작업 하고 있어요? 곡은 뭐 항상 작업하죠
152274.0415.wav|좋은 곡이 있으면 그게 좋은 거니까
152274.0416.wav|그렇지 않습니까 여러분들?
152274.0417.wav|저 그거 마지막으로 이제 다 돼가니까
152274.0418.wav|제가 제 'Chicken Noodle Soup'을 보면서 하는
152274.0419.wav|요즘 제가 또 리액션을 많이 보거든요 여러분들
152274.0420.wav|'Chicken Noodle Soup'을 제 뮤비를 제가 한번 직접
152274.0421.wav|오늘 여기서 감상을 해보겠습니다
152274.0422.wav|이거를 마지막으로 인사드릴게요
152274.0423.wav|여러분들 진짜 너무 좋아해주셔서 감사드리고
152274.0424.wav|고마워요
152274.0425.wav|한번 뮤비를 한번 봐봅시다
152274.0426.wav|사실 저는
152274.0427.wav|전 진짜 많이 보긴 했어요
152274.0428.wav|뮤비 나오기 전부터 계속
152274.0429.wav|피드백을 드렸었으니까
152274.0430.wav|저 차가
152274.0431.wav|좀 무섭긴 하더라고
152274.0432.wav|그리고 이때 진짜 너무 더웠어요
152274.0433.wav|내가 귀에서 삐 소리가 나더라고
152274.0434.wav|진짜 더웠어
152274.0435.wav|원테이크 형식이다 보니까
152274.0436.wav|이게 한 번 뭘 틀리면 안 되니까 되게 긴장을 많이 했던 것 같아
152274.0437.wav|그리고 이 차도 생각보다 고장이 잘 나더라고요
152274.0438.wav|그리고 이 꼬마 친구들 진짜 너무 잘해
152274.0439.wav|에너지가 너무 좋아
152274.0440.wav|베키 지
152274.0441.wav|베키 지한테도 계속 미안했던 게 내가 계속 다시 가자고 하니까
152274.0442.wav|그게 너무 미안하긴 했어
"152274.0443.wav|아쉬운 게 있으면, 한 번 아쉬운 게 있으면 계속 다시 가야 하니까"
152274.0444.wav|근데 베키 지가 괜찮다고 너 마음대로 하라고
152274.0445.wav|네 거지 않냐고
152274.0446.wav|진짜 너무 너무 착해
152274.0447.wav|제이홉
152274.0448.wav|이 닭 차 신기하지 않아요? 이 치킨 차?
152274.0449.wav|뮤비 감독님이 이거 있다고 하길래 이건 진짜 꼭 들어가야 될 것 같다고 해서
152274.0450.wav|렉 안 걸리죠?
152274.0451.wav|닭 차 보고 놀랐어요? 나도 놀랐어요
152274.0452.wav|저거 근데 소리도 난다?
152274.0453.wav|치킨 소리 나더라고
152274.0454.wav|베키 지 잘해 베키 지 진짜 잘한다
152274.0455.wav|멋있죠 우리 댄서분들?
152274.0456.wav|그리고 이거 이거 진짜 딱 한 큐에 간 거예요
152274.0457.wav|이 부분을
152274.0458.wav|제가 나오는 것부터 시작해서
152274.0459.wav|근데 중요한 게 저 뒤에 차 소리가 생각보다 크더라고
152274.0460.wav|음악이 안 들리는 거예요
152274.0461.wav|그래서 계속 박자를 놓쳐서
152274.0462.wav|유일하게... 유일하게 제가 박자를 듣고 춤춘 거로 골라서 이 그림을 쓴 거예요
152274.0463.wav|그리고 이 밤 신도
152274.0464.wav|원래는 밤 신이 없었었는데
152274.0465.wav|뭔가 환복도 그렇고
152274.0466.wav|뭔가 변화가 있으면 좋겠다고 생각해서
152274.0467.wav|밤 신도 부탁을 드렸었거든요
152274.0468.wav|근데 밤 신 넣은 거를 되게 잘한 것 같아요
152274.0469.wav|약간 루즈하고 지루해질 뻔했는데
152274.0470.wav|그리고 이때는 진짜
152274.0471.wav|춤 너무 잘 춰 댄서분들
152274.0472.wav|짱이에요 진짜
152274.0473.wav|그리고 이 영상은 또 제가 또
152274.0474.wav|뮤직비디오 감독님에게 또 부탁을 했었던 부분이죠
152274.0475.wav|현장 분위기가 너무 좋았어서 그 현장 분위기를 좀
152274.0476.wav|이 뮤비 안에 담고 싶다고 이야기를 해서
152274.0477.wav|이런 그림이 또 또 우리 감독님께서
152274.0478.wav|담아주셨죠
152274.0479.wav|여튼 너무 재밌는 작업이었고
152274.0480.wav|너무 뿌듯하네요 지금
152274.0481.wav|이 기분을 뭐라 표현을 해야 될지 모르겠어요
152274.0482.wav|그리고
152274.0483.wav|이 곡을 여러분들에게 들려드릴 수 있게 되어서 너무너무 기분이 좋고요
152274.0484.wav|좋아해주신 분들에게
152274.0485.wav|정말 감사 인사와
152274.0486.wav|사랑의 인사를 드립니다 땡큐 아미
152274.0487.wav|재밌게 들어주시고요
152274.0488.wav|지금 약간 1시간 가량 한 것 같은데 재밌게 들어주시고
152274.0489.wav|지금 챌린지 하고 있으니까 여러분들
152274.0490.wav|여러분들의 무빙을 보여주세요
152274.0491.wav|여러분들의 무빙을 보여주세요
152274.0492.wav|무슨 말인지 알죠?
152274.0493.wav|CNS 챌린지
152274.0494.wav|'Chicken Noodle Soup' 제가 다 볼 거예요 여러분들
152274.0495.wav|보고 잘하시는 분들 내가
152274.0496.wav|뭐 이런 거 여기는 그런 거 있나?
152274.0497.wav|좋아요? 모르겠다 아무튼
152274.0498.wav|여러분들 감사드리고
152274.0499.wav|오늘 저녁은
152274.0500.wav|Chicken Noodle Soup?
152274.0501.wav|고마워요 여러분들
152274.0502.wav|조만간 또 V LIVE로 인사드리러 올게요
152274.0503.wav|땡큐 아미!
152274.0504.wav|감사합니다
152274.0505.wav|제이홉의 V LIVE를 즐겨주신 많은 아미 여러분들과
152274.0506.wav|또 대중분들께 감사 인사를 드려요
152274.0507.wav|되게 가기 아쉽다 뭔가 너무 좋은 날이라서 그런가?
152274.0508.wav|사랑해요 여러분들 땡큐
152274.0509.wav|바이
152274.0510.wav|여러분 마지막으로 퍼플 하트
152274.0511.wav|이거 없으면 섭섭해 퍼플 하트 올려주세요
152274.0512.wav|퍼플 하트 원해요!
152274.0513.wav|기릿! 레츠 기릿 레츠 기릿 레츠 기릿!
152274.0514.wav|퍼플 하트
152274.0515.wav|예쁘다 아름답다
152274.0516.wav|땡큐
152274.0517.wav|다음에 또 만나요
152274.0518.wav|근데 중요한 건 어떻게 끄는지
152274.0519.wav|엑스 누르면 되나?
152274.0520.wav|엑스!
152274.0521.wav|됐다 바이바이 여러분들
152274.0522.wav|끊겼어요
165640.0000.wav|연결이 불안정하다는데
165640.0001.wav|뭔가 증명사진 찍는 것 같은데
"165640.0002.wav|안녕하십니까, 여러분들"
165640.0003.wav|6만...
165640.0004.wav|갑자기 올라가네
165640.0005.wav|9만 명이 넘었군요
165640.0006.wav|안녕하십니까
165640.0007.wav|슈가입니다
165640.0008.wav|머리가 덜 말라서
165640.0009.wav|너무 늦게 켰나? 12시면...
"165640.0010.wav|반갑습니다, 여러분들"
165640.0011.wav|'SUGA's Interlude'로 돌아온 슈가입니다
165640.0012.wav|돌아온 게 맞나? 아무튼...
"165640.0013.wav|발표를 했죠, 저번 주에?"
165640.0014.wav|저번 주 맞지?
165640.0015.wav|또 곡도 냈고 하니까 V LIVE 한번 켜야 되지 않겠습니까? 그렇죠?
165640.0016.wav|어떻게 다들 잘 들으셨는지 모르겠네요
165640.0017.wav|Halsey는 라이브도 하고 해서 설명도 하고 막
165640.0018.wav|후기 같은 것도 하고 했는데 나는 안 해서
165640.0019.wav|뭔가 해야 할 것 같았어요
165640.0020.wav|뭔가...
165640.0021.wav|작업물이 잘 나와서
165640.0022.wav|되게...
165640.0023.wav|빨리 나왔고
165640.0024.wav|그래서
165640.0025.wav|되게 나왔을 때 되게 기분 좋은 결과물이었습니다
165640.0026.wav|본격.. 한 번도 만나서 곡 이야기를 하지 않은...
165640.0027.wav|작업
165640.0028.wav|그래도 되게 결과물이 너무 잘 나와서
165640.0029.wav|다행이라고 생각합니다
165640.0030.wav|시대의 수혜자
165640.0031.wav|시대의 특혜
"165640.0032.wav|되게 재밌었어요, 작업하는데"
165640.0033.wav|뭔가... 처음에 저한테
165640.0034.wav|왔다고 해서 네?
165640.0035.wav|왜요? 저 영어로 랩 못 하는데
"165640.0036.wav|괜찮다고, 한국어로 해달라고 말한 우리 Halsey에게"
165640.0037.wav|감사를
165640.0038.wav|감사하다는 말을 하고 싶었는데 미국에서 만났을 때
165640.0039.wav|못했어요 영어를 못해서
"165640.0040.wav|영어 잘 하시드만 아니에요, 영어 잘 못해요"
165640.0041.wav|알아는 듣는데 말을 못 하겠더라고
165640.0042.wav|뭐랄까...
165640.0043.wav|그...
165640.0044.wav|그 약간 그런 거 있잖아요
165640.0045.wav|사실 그 곡은 좀...
165640.0046.wav|좀... 예전에 써놨던 곡이었는데
165640.0047.wav|언제쯤이지
165640.0048.wav|재... 비트를 써놨었는데
165640.0049.wav|재작년이었나?
165640.0050.wav|재작년쯤에 써놨던 거를
165640.0051.wav|이제...
165640.0052.wav|들려줬는데
165640.0053.wav|작업을 하게 됐죠
165640.0054.wav|재작년 맞나?
165640.0055.wav|재작년...
"165640.0056.wav|재작년... 맞네, 재작년"
165640.0057.wav|원래 느낌은 좀 더
165640.0058.wav|밝은 느낌이었는데
165640.0059.wav|이제 편곡 과정에서 이제
165640.0060.wav|되게 미니멀해졌죠
165640.0061.wav|그리고 이제... 작업...
165640.0062.wav|작업하자고 했을 때가 언제였더라?
165640.0063.wav|되게 빨리 나왔는데
"165640.0064.wav|10월이었나, 11월이었나 아마"
165640.0065.wav|와서
165640.0066.wav|그다음 날 써서
165640.0067.wav|이제 보냈죠
165640.0068.wav|그리고 편곡을 했는데
165640.0069.wav|그래서 아!
165640.0070.wav|녹음을 한 번 다시 했어요
165640.0071.wav|원래 편곡하기 전 버전에 녹음을 해놓고
165640.0072.wav|편곡된 게 와서
165640.0073.wav|입혀보니까 좀 떠서
"165640.0074.wav|막... 이거 근데 막, 회사에서는 괜찮다고 이거 막 그렇게 뜨는지 잘 모르겠다고 그랬는데"
165640.0075.wav|나는... 아닌 것 같다고 해서 다시 녹음을 했죠
165640.0076.wav|녹음한 게 훨씬 나은 것 같아요 다시 녹음한 게
165640.0077.wav|김치찌개에 왜 설탕을 넣어야 합니까? 여러분들 설탕을 넣으셔야 맛이 있어요
165640.0078.wav|진짜 그거 맛이 있어요
165640.0079.wav|그... 미원 있으면 미원 넣으시고
165640.0080.wav|윤기 오빠 저는 한국어 열심히 공부해요 한국어 진짜 어려운데
165640.0081.wav|파이팅하시길 바랍니다
165640.0082.wav|14살 차이랑 궁합을 안 본다고 저랑 결혼해달라고 하시는데
165640.0083.wav|저는 궁합을 안 믿습니다
165640.0084.wav|글씨가... 잘 안 보여
165640.0085.wav|'Tomorrow' 가사랑 이어지는 부분 너무 좋았어요
"165640.0086.wav|네, 감사합니다"
165640.0087.wav|이게...
"165640.0088.wav|글쎄요, 제가 되게 좋아하는"
165640.0089.wav|제가 쓴 가사 중에 되게 좋아하는 가사이기도 하고
165640.0090.wav|저는 좀
165640.0091.wav|이...
165640.0092.wav|전에 썼던 구절을 가져오는 거를 좀 좋아하는 것 같아요
165640.0093.wav|그때랑 또 생각이 좀 달라지는 부분도 있고 하니까
"165640.0094.wav|네, 아무튼"
165640.0095.wav|케밥 먹고 싶다 드시면 되죠
165640.0096.wav|물만두 같아요
165640.0097.wav|물만두 먹고 싶네요
"165640.0098.wav|오빠 안 졸려요? 네, 졸리지는 않습니다"
165640.0099.wav|무슨 음식 제일 좋아해요? 저는 음식
"165640.0100.wav|다 잘 먹어요, 솔직히"
165640.0101.wav|솔직히 못 먹는 음식 없습니다
165640.0102.wav|편식이 뭐죠?
165640.0103.wav|멕시코에 BTS 매장 오픈했다는데 알고 있죠
165640.0104.wav|맞아요 그 기사 봤어요
165640.0105.wav|오빠 Halsey 한정판 LP판 샀나요?
165640.0106.wav|아니요
165640.0107.wav|보내주겠죠
165640.0108.wav|사인해서 보내주지 않을까요?
165640.0109.wav|오빠는 힘들 때 뭘로 견뎌냈나요? 전 오빠 랩 들으면서요 뭐 이렇게 말씀하시는데
165640.0110.wav|힘들 때는
165640.0111.wav|좀...
165640.0112.wav|뭐... 뭐 사람마다 다르겠지만
"165640.0113.wav|뭐 답이 없다고 생각합니다, 저는 그냥 버티는 게"
165640.0114.wav|버티는 게 이기는 거예요
165640.0115.wav|뭐...
165640.0116.wav|그...
"165640.0117.wav|맞아요, 그... 되게 간단하고"
165640.0118.wav|되게 성의 없게 들릴지 모르겠지만 그게...
165640.0119.wav|저는 그게... 그게 답이더라고요
165640.0120.wav|그리고 시간 지나 보면 다... 그 다...
165640.0121.wav|다...
"165640.0122.wav|재밌는 기억이 되더라고요, 저는 개인적으로"
165640.0123.wav|다 그렇다는 건 아니고요
165640.0124.wav|저는 개인적으로는 그래요
165640.0125.wav|조금 시간이 좀 더 지나봐야지 이제
165640.0126.wav|아무리 힘들어도 좀 시간이 지나봐야지
165640.0127.wav|그 강도를 이렇게 정확하게 볼 수 있거든요 힘듦의 강도를
165640.0128.wav|근데 시간 지나보면 다 이제 웃으면서 넘어갈
165640.0129.wav|넘어가... 넘어가지 뭐...
165640.0130.wav|버티는 게 전 답이라고 생각을 합니다
"165640.0131.wav|'본보야지' 봤어요? 네, '본보야지' 봤어요"
165640.0132.wav|100만 명이 넘으면 이제 이런...
165640.0133.wav|이런 게 있구나
165640.0134.wav|아닌데? 100만 명이 아닌데
"165640.0135.wav|브라질 아미, 브라질 아미 사랑해요 저도 사랑합니다"
165640.0136.wav|무슨 말 하는지 모르겠지만 사랑해요
"165640.0137.wav|그래요, 이해하지 않아도 돼요"
165640.0138.wav|우리 다 언어를 초월하지 우리는
165640.0139.wav|오빠만의 피부 관리법 있나요? 저 딱히 없어요 그냥
165640.0140.wav|그냥... 네 로션...
165640.0141.wav|하나만 바르거든요 귀찮아서
165640.0142.wav|막 그... 막 그런 거 있잖아요 에센스 그런 거
